gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,strong
ENSG00000123810,B9D2,cad,0.40532106303277,1.27075779301013e-11,1.0968134762845668e-08,2.362e-17,16.9515,4142.0,0.0017866863922034,False
ENSG00000125743,SNRPD2,cad,-0.137881424618676,0.0007155214300233,0.02481996676768766,2.135e-35,31.6124,5985.0,6.63246995641813e-29,False
ENSG00000127616,SMARCA4,cad,0.358478017065554,2.00894249383195e-10,1.016455627999869e-07,1.931e-36,19.2309,5183.0,3.1200465996071802e-24,False
ENSG00000129351,ILF3,cad,-1.08035818409048,4.38821710768473e-09,1.4633706732058646e-06,1.931e-36,5.8877,5170.0,9.88248255261359e-05,False
ENSG00000130201,EXOC3L2,cad,0.911756133552951,1.32527856320749e-10,7.47915859920904e-08,2.135e-35,8.2617,5710.0,7.32352542425762e-13,False
ENSG00000130202,PVRL2,cad,0.077850590892797,0.0010085325309976,0.03189266773130988,2.135e-35,103.7942,5490.0,1.04369533023923e-29,False
ENSG00000130475,FCHO1,cad,-0.20005021329478,4.99805113605979e-13,7.232163166006714e-10,1.438e-13,30.6191,6048.0,0.953262705133287,True
ENSG00000130529,TRPM4,cad,-0.121204677528026,0.0006659521806786,0.02371727268712888,9.641e-06,29.3679,5146.0,0.419753169638396,False
ENSG00000130733,YIPF2,cad,0.427630572350838,3.21193955521988e-05,0.0023802418734212853,1.931e-36,7.8119,5296.0,1.3512032959054e-10,False
ENSG00000133246,PRAM1,cad,-0.150866686219372,1.36631104191262e-05,0.001215023146544477,3.573e-10,21.3661,6154.0,0.0140234283748907,False
ENSG00000142039,CCDC97,cad,0.808949066986576,1.60907923884648e-11,1.2426326142944421e-08,2.362e-17,9.0433,4204.0,0.0007392976968816,False
ENSG00000142046,TMEM91,cad,0.137683957674819,4.18744190782889e-08,9.910054050576338e-06,2.362e-17,71.2008,4127.0,4.57747587356067e-12,False
ENSG00000142444,C19orf52,cad,0.234166527812794,9.83053974484998e-05,0.005863557303909909,1.931e-36,16.7541,5298.0,4.84914723087543e-29,False
ENSG00000142453,CARM1,cad,-0.234991061778182,0.0002418571066959,0.011055356157473335,1.931e-36,22.6788,5321.0,4.3852181996216694e-30,False
ENSG00000161888,SPC24,cad,-0.356552547513618,0.001215174859411,0.035377501412971434,1.931e-36,10.9458,5043.0,9.95643708505885e-24,False
ENSG00000169169,CPT1C,cad,0.277134466199232,0.000765216447668,0.025811542383066734,9.641e-06,13.5909,5040.0,0.378248790640411,False
ENSG00000175489,LRRC25,cad,0.0845634154811626,6.33424836662398e-05,0.004094380012487827,1.438e-13,52.5481,5416.0,1.81397661526161e-07,False
ENSG00000176761,ZNF285B,cad,0.57037813133682,0.0002751036862878,0.012306696307624663,2.135e-35,5.4702,5611.0,0.0017061545848841,False
ENSG00000177051,FBXO46,cad,-0.63751884430473,0.0001230343103665,0.006943393984644825,2.135e-35,7.9854,5930.0,1.3919415226171399e-11,False
ENSG00000177191,B3GNT8,cad,0.340034784237226,0.0003718133883781,0.01523915599908341,2.362e-17,10.9342,4078.0,6.237161047917589e-11,False
ENSG00000178904,DPY19L3,cad,0.17923962904745,0.0006802052219377,0.023991950051663154,3.298e-05,26.1049,5917.0,0.458246002695683,False
ENSG00000180846,CSNK1G2-AS1,cad,-0.398974695590101,0.0012235470649724,0.035410465649585846,6.73e-06,6.1692,5588.0,0.598601251598579,False
ENSG00000185236,RAB11B,cad,0.544775566994484,8.41708028005167e-05,0.0051246397904231595,3.573e-10,7.5666,6290.0,0.0019863314437481,False
ENSG00000197256,KANK2,cad,-0.588056864030591,8.7737398809142e-06,0.0008359550991730782,1.931e-36,15.845,5024.0,1.4645221509898698e-28,False
ENSG00000198182,ZNF607,cad,0.255639989423243,0.0001737669321367,0.008792007569799306,1.651e-05,14.85,4706.0,0.278404838806219,False
ENSG00000205517,RGL3,cad,0.144770675129871,1.42727594883778e-05,0.0012517615343287764,1.931e-36,25.4473,4856.0,8.12226186196532e-29,False
ENSG00000211513,MIR320E,cad,0.11945462871165,0.0013397923744228,0.03795130021217326,1.551e-08,16.8999,5214.0,0.006928489954226,False
ENSG00000213339,QTRT1,cad,-0.973678275472392,1.32434249199224e-06,0.00020241747276043893,1.931e-36,5.3829,5137.0,0.000297409108051,False
ENSG00000221535,AC027319.1,cad,-0.111228605202301,0.001646500226989,0.044085944946367875,5.626e-06,11.3705,5777.0,0.173410468532688,False
ENSG00000224420,ADM5,cad,-0.354337819760869,0.0010596400502269,0.03280189547885929,9.641e-06,9.1055,5045.0,0.338441025544241,False
ENSG00000232677,LINC00665,cad,-0.0441198371056742,0.0018042807269136,0.04694009061348094,4.085e-05,29.4807,4680.0,0.212783803542303,False
ENSG00000254858,MPV17L2,cad,-0.19932212342407,0.0013742758758317,0.03848234718717278,1.438e-13,17.1231,5704.0,1.0972272179968e-08,False
ENSG00000256087,ZNF432,cad,-0.659666460778258,0.0012086026357218,0.035377501412971434,0.0005593,6.6379,7381.0,0.298015675897265,False
ENSG00000267053,CTD-3162L10.1,cad,-0.0554236050578958,0.0017913516296668,0.04668650526128056,4.085e-05,19.8758,4594.0,0.20790622460331,False
ENSG00000267082,CTC-510F12.2,cad,-0.171497710483293,1.09178446709018e-05,0.0009950157444480875,1.931e-36,20.5445,4966.0,3.64819502514979e-27,False
ENSG00000269696,AC007228.11,cad,0.0594229207806362,0.0009936883028815,0.03169649666995707,4.205e-06,26.7007,6779.0,0.359780597881441,False
ENSG00000269800,AC005795.2,cad,-0.284550437969957,0.0013535390663982,0.03811992077017426,2.362e-17,11.0866,3873.0,3.20844703077318e-11,False
ENSG00000124196,GTSF1L,cad,0.535195139984094,0.0013120392108359,0.03738165308853429,8.389e-05,7.8767,5464.0,0.438324504392756,False
ENSG00000124226,RNF114,cad,0.181701314614923,4.01409853015111e-05,0.0028591683365488947,3.517e-07,27.2625,5624.0,0.588306476725848,False
ENSG00000125510,OPRL1,cad,0.0837332109504172,1.0491881945156e-05,0.0009621711486329624,5.562e-07,49.9743,3929.0,0.178596650580459,False
ENSG00000125970,RALY,cad,1.24168028611327,1.48981634771989e-05,0.0012858867805937615,1.044e-09,6.2373,3102.0,0.0320101460477838,False
ENSG00000125971,DYNLRB1,cad,1.14078277053055,1.48981634771989e-05,0.0012858867805937615,6.84e-12,6.7634,3190.0,0.011158323596646,False
ENSG00000132793,LPIN3,cad,0.89672651546477,3.70868010561491e-07,6.888286479707288e-05,1.115e-08,5.883,5371.0,0.95620440896145,True
ENSG00000132823,C20orf111,cad,-0.0772682058581293,0.000182608401294,0.009165019220758339,8.389e-05,58.4779,5266.0,0.363476335754508,False
ENSG00000174306,ZHX3,cad,0.664882980096833,2.47144885813716e-05,0.001981615797565385,1.115e-08,10.3869,5473.0,0.733746042150971,False
ENSG00000185019,UBOX5,cad,-0.122685186589278,0.0002037784595615,0.009739548329465438,2.117e-05,30.1771,6212.0,0.661784508633677,False
ENSG00000214078,CPNE1,cad,-0.0868120792609597,0.0006517975514402,0.023269648351051227,6.84e-12,113.4653,3349.0,9.90834380710326e-07,False
ENSG00000215251,FASTKD5,cad,0.182714243586629,6.82067146936005e-05,0.004370293120957206,2.117e-05,20.221,6204.0,0.903698834280561,True
