gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,set,status
ENSG00000148572,NRBF2,t2d,-0.174209704867932,8.97817529863382e-05,0.0056127365823974,2.559e-05,22.5527,4115.0,0.811401104931589,fdr_core_strong,strong (FDR-core)
ENSG00000157045,NTAN1,t2d,0.14384483516548,0.0011540500847815,0.0348954610205444,3.025e-05,21.5851,1899.0,0.814925986106974,fdr_core_strong,strong (FDR-core)
ENSG00000165609,NUDT5,t2d,0.296802926977931,2.42743612185533e-17,6.183893520426455e-14,1.966e-17,23.8018,4090.0,0.999653186092686,fdr_core_strong,strong (FDR-core)
ENSG00000197702,PARVA,t2d,-0.484866014701552,0.0001124308158092,0.0064347928077022,0.000109,14.6515,4651.0,0.89410643966769,fdr_core_strong,strong (FDR-core)
ENSG00000249915,PDCD6,t2d,0.252503382719474,3.11056024514747e-05,0.0024571014649653,1.64e-05,27.9517,1282.0,0.842272690870712,fdr_core_strong,strong (FDR-core)
ENSG00000145431,PDGFC,t2d,0.308679551179897,6.07363888051614e-06,0.0007567387982662,5.267e-07,21.7795,4701.0,0.943693907632831,fdr_core_strong,strong (FDR-core)
ENSG00000230224,PHBP9,t2d,-0.278263554001938,6.24256242925448e-09,2.765726571917528e-06,1.232e-09,11.6545,3227.0,0.972888870400323,fdr_core_strong,strong (FDR-core)
ENSG00000004534,RBM6,t2d,-0.0577133415258059,1.02183794615947e-05,0.0011442339199302,9.597e-07,101.8767,1689.0,0.944783239528696,fdr_core_strong,strong (FDR-core)
ENSG00000056586,RC3H2,t2d,0.59959902527361,4.76903814203762e-05,0.0034465601891747,6.202e-07,14.4607,3188.0,0.817415181215947,fdr_core_strong,strong (FDR-core)
ENSG00000163933,RFT1,t2d,-0.180448542624537,1.23883375996508e-07,3.5065877816789354e-05,6.238e-08,34.6411,2714.0,0.987587381299832,fdr_core_strong,strong (FDR-core)
ENSG00000251288,RP11-10L12.2,t2d,0.163881129999089,3.6079151362383804e-09,1.8382327619134547e-06,6.182e-10,18.8328,3340.0,0.9809732435352,fdr_core_strong,strong (FDR-core)
ENSG00000230925,RP11-176F3.7,t2d,0.182085792548116,9.42633105881114e-09,3.842172539571421e-06,1.36e-09,15.8064,2995.0,0.924871918119311,fdr_core_strong,strong (FDR-core)
ENSG00000253878,RP11-347C18.3,t2d,0.532854018314692,8.58263577972377e-08,2.650213896829855e-05,4.545e-09,5.2291,4936.0,0.932041055765165,fdr_core_strong,strong (FDR-core)
ENSG00000242288,RP11-464F9.1,t2d,0.354744169660228,7.91304065576988e-07,0.0001390239384177,2.375e-08,9.3863,2033.0,0.940514018726893,fdr_core_strong,strong (FDR-core)
ENSG00000251582,RP11-464F9.9,t2d,0.358597129337517,2.97537746375533e-07,7.050952640852747e-05,2.375e-08,7.4572,1999.0,0.904653118179906,fdr_core_strong,strong (FDR-core)
ENSG00000263883,RP11-51F16.5,t2d,-0.6927050112448,1.62306371671158e-06,0.0002594706741661,3.949e-08,7.6859,2129.0,0.803923158211812,fdr_core_strong,strong (FDR-core)
