ENSG,biotype
ENSG00000258384,lncRNA
ENSG00000218537,lncRNA
ENSG00000256223,protein_coding
ENSG00000188878,protein_coding
ENSG00000267053,lncRNA
ENSG00000228638,transcribed_processed_pseudogene
ENSG00000198518,NOT_FOUND
ENSG00000196387,protein_coding
ENSG00000243789,protein_coding
ENSG00000185482,protein_coding
ENSG00000187486,protein_coding
ENSG00000226469,unitary_pseudogene
ENSG00000214432,lncRNA
ENSG00000266173,protein_coding
ENSG00000237854,transcribed_unprocessed_pseudogene
ENSG00000227268,protein_coding
ENSG00000263883,transcribed_processed_pseudogene
ENSG00000234292,lncRNA
ENSG00000251582,NOT_FOUND
ENSG00000259374,transcribed_processed_pseudogene
ENSG00000182923,protein_coding
ENSG00000185627,protein_coding
ENSG00000235513,lncRNA
ENSG00000246560,lncRNA
ENSG00000264290,lncRNA
ENSG00000234745,protein_coding
ENSG00000182179,protein_coding
ENSG00000248677,lncRNA
ENSG00000214401,lncRNA
ENSG00000230925,NOT_FOUND
ENSG00000260686,lncRNA
ENSG00000197536,lncRNA
ENSG00000234252,NOT_FOUND
ENSG00000264070,transcribed_processed_pseudogene
ENSG00000182511,protein_coding
ENSG00000254275,lncRNA
ENSG00000204439,protein_coding
ENSG00000197815,lncRNA
ENSG00000198720,protein_coding
ENSG00000229473,processed_pseudogene
ENSG00000263766,lncRNA
ENSG00000256705,lncRNA
ENSG00000232470,lncRNA
ENSG00000255121,lncRNA
ENSG00000260814,lncRNA
ENSG00000229648,transcribed_processed_pseudogene
ENSG00000232810,protein_coding
ENSG00000258889,NOT_FOUND
ENSG00000248712,protein_coding
ENSG00000267395,lncRNA
ENSG00000229431,lncRNA
ENSG00000198925,protein_coding
ENSG00000255748,NOT_FOUND
ENSG00000204650,transcribed_unitary_pseudogene
ENSG00000213420,protein_coding
ENSG00000197093,protein_coding
ENSG00000234608,lncRNA
ENSG00000196453,protein_coding
ENSG00000205643,protein_coding
ENSG00000185614,protein_coding
ENSG00000215251,protein_coding
ENSG00000269800,processed_pseudogene
ENSG00000268688,NOT_FOUND
ENSG00000268471,lncRNA
ENSG00000268649,lncRNA
ENSG00000267698,lncRNA
ENSG00000269918,lncRNA
ENSG00000267868,lncRNA
ENSG00000269071,NOT_FOUND
ENSG00000270018,NOT_FOUND
