"GeneName","n_eqtl","min_p","islet_available"
"AC141928.1",1,1.82929e-09,TRUE
"ADRA2C",1,7.93068e-09,TRUE
"NSG1",1,2.35731e-09,TRUE
"RP11-586D19.1",1,1.35432e-08,TRUE
"MAN2B2",1,8.30305e-19,TRUE
"AC093323.3",1,6.76373e-13,TRUE
"RP11-539L10.3",1,1.04338e-39,TRUE
"RP11-367J11.3",1,6.10088e-08,TRUE
"ABLIM2",1,2.29222e-09,TRUE
"RP11-774O3.3",1,1.02944e-10,TRUE
"TRMT44",1,1.76991e-07,TRUE
"ACOX3",1,5.17695e-08,TRUE
"RP11-689P11.2",1,1.79132e-12,TRUE
"HS3ST1",1,3.80973e-08,TRUE
"FBXL5",1,1.58905e-06,TRUE
"MED28",1,9.58189e-10,TRUE
"FAM184B",1,3.12173e-08,TRUE
"DCAF16",1,4.61305e-08,TRUE
"NCAPG",1,1.36026e-06,TRUE
"LCORL",1,5.88242e-07,TRUE
"PACRGL",1,2.80182e-27,TRUE
"CCDC149",1,2.29873e-06,TRUE
"LGI2",1,6.18427e-15,TRUE
"ZCCHC4",1,2.28769e-06,TRUE
"SMIM20",1,2.89691e-22,TRUE
"STIM2",1,3.23536e-15,TRUE
"PCDH7",1,5.15355e-07,TRUE
"TLR6",1,1.11954e-29,TRUE
"RP11-360F5.3",1,1.44303e-12,TRUE
"RPL9",1,1.30681e-95,TRUE
"RP11-222K16.1",2,3.03796e-09,TRUE
"RGS12",2,6.21107e-15,TRUE
"TMEM128",2,6.4977e-12,TRUE
"SLC2A9",2,8.52074e-09,TRUE
"KLHL5",2,4.17987e-14,TRUE
"CCDC127",1,1.24987e-24,TRUE
"SDHA",1,1.51015e-13,TRUE
"AHRR",1,1.79296e-06,TRUE
"C5orf55",1,2.63963e-11,TRUE
"EXOC3",1,3.28256e-07,TRUE
"CTD-2228K2.5",1,2.68516e-07,TRUE
"SLC9A3",1,1.00166e-31,TRUE
"CEP72",1,2.04249e-06,TRUE
"ZDHHC11B",1,1.74729e-06,TRUE
"ZDHHC11",1,1.71384e-10,TRUE
"BRD9",1,7.89185e-08,TRUE
"SLC6A19",1,3.9438e-20,TRUE
"CTD-2012J19.3",1,3.4946e-20,TRUE
"MRPL36",1,8.68318e-11,TRUE
"RP11-259O2.1",1,2.6797e-18,TRUE
"CTD-2324F15.2",1,9.88048e-08,TRUE
"NSUN2",1,1.71631e-09,TRUE
"SRD5A1",1,3.66356e-12,TRUE
"CTD-2044J15.2",1,1.65838e-13,TRUE
"PAPD7",1,1.00601e-09,TRUE
"RP11-480D4.6",1,6.2716e-09,TRUE
"SNHG18",1,9.12864e-36,TRUE
"FAM173B",1,2.55891e-10,TRUE
"DAP",1,3.97438e-08,TRUE
"DNAH5",1,1.67657e-07,TRUE
"FAM134B",1,5.53768e-08,TRUE
"CDH18",1,5.79974e-39,TRUE
"CDH12",1,9.21819e-08,TRUE
"C5orf17",1,2.7724e-23,TRUE
"CDH6",1,1.41023e-08,TRUE
"AMACR",1,2.46158e-14,TRUE
"RP11-1084J3.4",1,1.67805e-13,TRUE
"DNAJC21",1,1.11764e-18,TRUE
"CAPSL",1,1.63851e-07,TRUE
"C5orf42",1,2.84735e-07,TRUE
"DAB2",1,6.92432e-07,TRUE
"RPL37",1,2.71165e-07,TRUE
"OXCT1",1,3.75529e-06,TRUE
"C5orf34",1,1.68649e-11,TRUE
"NNT",1,8.36037e-14,TRUE
"HCN1",1,8.91448e-09,TRUE
"EMB",1,5.41948e-06,TRUE
"ITGA1",1,6.19427e-07,TRUE
"SNX18",1,1.33633e-08,TRUE
"CCNO",1,8.38255e-09,TRUE
"SETD9",1,9.46156e-88,TRUE
"CTD-2037L6.2",1,3.70139e-07,TRUE
"ELOVL7",1,4.23874e-08,TRUE
"CMBL",2,1.28058e-06,TRUE
"PTGER4",2,9.81481e-12,TRUE
"ERCC8",1,5.84374e-07,TRUE
"RNF180",1,2.88141e-07,TRUE
"FAM159B",1,4.08886e-13,TRUE
"SREK1IP1",1,4.66645e-06,TRUE
"CENPK",1,1.37955e-08,TRUE
"TRAPPC13",1,2.71437e-06,TRUE
"RP11-54O7.17",1,2.43402e-11,TRUE
"RP11-54O7.18",1,3.31576e-07,TRUE
"B3GALT6",1,3.72197e-07,TRUE
"MRPL20",1,6.92923e-10,TRUE
"ANKRD65",1,9.78668e-08,TRUE
"ATAD3C",1,1.39881e-16,TRUE
"ATAD3B",1,7.31736e-16,TRUE
"CDK11B",1,2.83256e-06,TRUE
"SLC35E2B",1,2.32939e-16,TRUE
"SLC35E2",1,5.16903e-07,TRUE
"PRKCZ",1,1.9425e-07,TRUE
"TPRG1L",1,1.24315e-06,TRUE
"WRAP73",1,4.35567e-16,TRUE
"NPHP4",1,4.74794e-08,TRUE
"PLEKHG5",1,8.38552e-14,TRUE
"RP11-338N10.1",1,3.92649e-07,TRUE
"VAMP3",1,4.40084e-16,TRUE
"PARK7",1,3.47722e-10,TRUE
"H6PD",1,1.35526e-17,TRUE
"CTNNBIP1",1,3.67438e-07,TRUE
"PGD",1,1.90682e-26,TRUE
"APITD1",1,2.12095e-06,TRUE
"FBXO2",1,8.1114e-08,TRUE
"NPPA",1,4.01292e-17,TRUE
"FHAD1",1,5.74348e-22,TRUE
"CTRC",1,7.77878e-07,TRUE
"DNAJC16",1,1.02306e-06,TRUE
"FAM131C",1,1.22516e-14,TRUE
"ARHGEF19",1,1.84012e-28,TRUE
"RP4-798A10.2",1,6.49664e-13,TRUE
"NBPF1",1,2.18371e-10,TRUE
"CROCCP2",1,5.49621e-07,TRUE
"IGSF21",1,5.90842e-35,TRUE
"EXOC2",1,8.952e-08,TRUE
"RP11-532F6.3",1,3.22065e-32,TRUE
"FOXF2",1,8.46737e-07,TRUE
